Travel_Time_Code,County_Code,Mpo_Code
104-05284,36069,36197700
104+05284,36069,36197700
104-05285,36069,36197700
104+05285,36069,36197700
104-05286,36069,36197700
104+05286,36069,36197700
104-05287,36069,
104+05287,36069,36197700
104-05288,36069,
104+05288,36069,
104-05289,36069,
104+05289,36069,
104-05290,36069,
104+05290,36069,
104-05291,36099,
104+05291,36099,
104-05292,36099,
104+05292,36099,
104-05293,36099,
104+05293,36099,
104-05294,36099,
104+05294,36099,
104-05295,36055,
104+05295,36073,
104-05296,36055,36197700
104+05296,36055,
104-05297,36055,36197700
104+05297,36055,36197700
104-05298,36055,36197700
104+05298,36055,36197700
104-05299,36055,36197700
104+05299,36055,36197700
104-05300,36055,36197700
104+05300,36055,36197700
104-05301,36055,36197700
104+05301,36055,36197700
104-05302,36055,36197700
104+05302,36055,36197700
104-05303,36055,36197700
104+05303,36055,36197700
104-05304,36055,36197700
104+05304,36055,36197700
104-05305,36055,36197700
104+05305,36055,36197700
104-05306,36055,36197700
104+05306,36055,36197700
104-05307,36055,36197700
104+05307,36055,36197700
104-05308,36055,36197700
104+05308,36055,36197700
104-05309,36055,36197700
104+05309,36055,36197700
104-05323,36055,36197700
104+05323,36055,36197700
104-05324,36055,36197700
104+05324,36055,36197700
104-05325,36055,36197700
104+05325,36055,36197700
104-05326,36055,36197700
104-05336,36055,36197700
104-05337,36055,36197700
104+05337,36055,36197700
104-05338,36055,36197700
104+05338,36055,36197700
104-05339,36055,36197700
104+05339,36055,36197700
104-05340,36055,36197700
104+05340,36055,36197700
104-05341,36055,36197700
104+05341,36055,36197700
104-05342,36055,36197700
104+05342,36055,36197700
104+05343,36055,36197700
104-05351,36055,36197700
104+05352,36055,36197700
104-05357,36011,
104+05357,36099,
104-05358,36011,
104+05358,36011,
104-05359,36011,
104+05359,36011,
104-05360,36067,36196500
104+05360,36011,
104-05361,36067,36196500
104+05361,36067,36196500
104-05362,36067,36196500
104+05362,36067,36196500
104-05363,36067,36196500
104+05363,36067,36196500
104-05364,36067,36196500
104+05364,36067,36196500
104-05365,36067,36196500
104+05365,36067,36196500
104-05366,36067,36196500
104+05366,36067,36196500
104-05367,36067,36196500
104+05367,36067,36196500
104-05368,36067,36196500
104+05368,36067,36196500
104-05369,36067,36196500
104+05369,36067,36196500
104-05370,36067,36196500
104+05370,36067,36196500
104-05371,36067,36196500
104+05371,36067,36196500
104-05372,36067,36196500
104+05372,36067,36196500
104-05373,36053,
104+05373,36053,
104-05374,36053,
104+05374,36053,
104-05375,36053,
104+05375,36053,
104-05376,36053,
104+05376,36053,
104-05377,36053,
104+05377,36053,
104-05378,36053,
104+05378,36053,
104-05379,36053,
104+05379,36053,
104-05380,36065,36197200
104+05380,36065,36197200
