tmc,lottr_am_peak,lottr_midday,lottr_pm_peak,lottr_weekend
120+11723,1.12448,1.08787,1.10084,1.10684
120-11724,1.06,1.06,1.06122,1.06
120+11724,1.10185,1.09259,1.08385,1.10377
120-11725,1.07975,1.07927,1.08861,1.12963
120+11725,1.04167,1.04082,1.04082,1.06383
120-11726,1.06641,1.08144,1.07393,1.11284
120+11726,1.04969,1.04969,1.06329,1.07742
120-11727,1.14286,1.14286,1.14286,1.14286
120+11727,1.18288,1.05642,1.07393,1.11683
120-11728,1.0687,1.08397,1.08661,1.07752
120+11728,1.14286,1.14286,1.14286,1.14286
120-11729,1.08475,1.11186,1.12014,1.10381
120+11729,1.12403,1.06107,1.06923,1.09449
120-11730,1.07229,1.08434,1.09877,1.11111
120+11730,1.0979,1.08099,1.08481,1.08834
120-11731,1.1,1.1,1.2,1.1
120+11731,1.11111,1.09877,1.09877,1.08861
120-11732,1.12159,1.13793,1.15288,1.10969
120+11732,1.1,1.1,1.1,1.1
120-11733,1.07792,1.07792,1.1039,1.11688
120+11733,1.15212,1.12129,1.10459,1.11598
120-11734,1.14,1.14706,1.25253,1.19388
120+11734,1.08974,1.10526,1.10811,1.09211
120-11739,1.29412,1.31579,1.4,1.40541
120-11756,1.33981,1.70707,2.29221,1.12632
120+11756,1.22222,1.77778,2.90909,1.22222
120-11788,1.1619,1.16981,1.18692,1.14563
120-11789,1.26562,1.28676,1.44755,1.344
120+11789,1.21818,1.24561,1.43548,1.37273
120+11790,1.21311,1.232,1.33333,1.2437
120-11799,,,1,
120+11800,,,1.17094,
120-11802,1.37838,1.55344,1.67029,1.79832
120-11803,1.48986,1.455,1.6393,1.66846
120+11803,1.33333,1.36957,1.39095,1.5
120-11804,1.20721,1.19298,1.24561,1.23077
120+11804,1.44474,1.45269,1.58056,1.648
120-11805,1.31481,1.25786,1.3375,1.32143
120+11805,1.25439,1.24138,1.30702,1.2243
120-11806,1.4569,1.54651,1.66555,1.60241
120+11806,1.24837,1.23602,1.30864,1.31507
120+11807,1.69484,1.64898,1.77564,1.66807
120-11816,1.31765,1.432,1.35833,1.36667
120-11817,1.34667,1.64643,1.90578,2.21141
120+11817,1.28235,1.38525,1.44361,1.87218
120+11818,1.35586,1.42424,1.43379,1.58369
120-11823,2.47794,2,4.49587,4.25
120-11824,1.41837,1.44144,1.41071,1.39362
120+11824,1.36019,1.44958,1.70732,1.38983
120-11825,1.73054,1.99435,2.24294,1.97826
120+11825,1.26136,1.22917,1.22105,1.20238
120-11826,1.4375,1.4375,1.58065,1.46667
120+11826,1.53623,1.50355,1.53623,1.54331
120-11827,1.16204,1.18421,1.22467,1.25238
120+11828,1.12887,1.13433,1.15306,1.19474
120-11845,1.22131,1.25,1.26271,1.28571
120-11846,1.17127,1.16854,1.17514,1.20231
120+11846,1.17544,1.17797,1.23529,1.22321
120-11847,1.29293,1.21212,1.42222,1.33333
120+11847,1.15789,1.10526,1.22222,1.23529
120+11848,1.3027,1.22222,1.48864,1.6375
120-11852,1.33333,1.37363,1.35496,1.46947
120+11854,1.21935,1.15686,1.14865,1.21192
120-11857,1.27451,1.33091,1.46992,1.56388
120+11857,1.3547,1.3083,1.37705,1.37339
120-11858,1.20423,1.23102,1.19164,1.21033
120+11858,1.27869,1.23954,1.26275,1.35683
120-11859,1.24138,1.26351,1.34483,1.40741
120+11859,1.26761,1.35556,1.36184,1.32103
120+11860,1.27407,1.25517,1.32394,1.36923
120+11861,1.40488,1.27586,1.22886,1.22335
120+11864,1.33333,1.24,1.38961,1.34247
120-11869,1.22581,1.24352,1.35838,1.22381
120-11870,1.19481,1.19745,1.19745,1.26115
120+11870,1.58462,1.57143,1.4439,1.97917
120+11871,1.26875,1.34375,1.4125,1.34756
120-11874,1.664,1.64865,1.48305,1.64486
120-11875,1.19048,1.18182,1.28571,1.3
120+11875,1.36283,1.34211,1.41026,1.64602
120-11876,1.06818,1.06818,1.06818,1.07874
120+11876,1.11364,1.13953,1.14286,1.16667
120-11877,1.0828,1.07006,1.07692,1.09091
120+11877,1.07407,1.07519,1.07692,1.06154
120-11878,1.16667,1.13889,1.15493,1.11594
120+11878,1.12195,1.11111,1.08917,1.09554
120-11879,1.04082,1.05102,1.05102,1.06122
120+11879,1.10588,1.11905,1.11905,1.09639
120-11880,1.07469,1.07819,1.09917,1.10331
120+11880,1.05,1.05,1.06122,1.05102
120-11881,1.08525,1.08911,1.10231,1.08754
120+11881,1.08264,1.09016,1.12397,1.11667
120-11882,1.11896,1.10037,1.09811,1.11278
120+11882,1.08252,1.07282,1.12255,1.06404
120-11883,1.18182,1.11364,1.17241,1.09195
120+11883,1.18246,1.14035,1.1487,1.12774
120-11884,1.11111,1.13228,1.11702,1.12938
120+11884,1.08235,1.08235,1.05882,1.07143
120-11885,1.21212,1.2,1.17188,1.17969
120+11885,1.12332,1.10847,1.11111,1.15364
120-11886,1.19231,1.15385,1.15385,1.11538
120+11886,1.28906,1.17969,1.14844,1.21875
120-11887,1.08065,1.08065,1.08065,1.10833
120+11887,1.11538,1.11538,1.15385,1.12
120-11888,1.21331,1.21769,1.18707,1.25705
120+11888,1.11,1.09,1.11224,1.12121
120-11889,1.15743,1.16327,1.15455,1.13393
120+11889,1.1936,1.21303,1.21908,1.19898
120-11890,1.35261,1.23962,1.28868,1.24954
120+11890,1.20354,1.14242,1.13003,1.13003
120-11891,1.39535,1.38776,1.36364,1.32558
120+11891,1.43942,1.28466,1.37153,1.30996
120-11892,1.14007,1.13267,1.14286,1.14165
120+11892,1.2057,1.16,1.17504,1.18852
