Bin,120P04340,,120N05397,,120+14882,,120-07060,,
236,496,0.0134291787,821,0.0157587623,109,0.0156992654,671,0.014797336,Tue 11:00 AM
237,504,0.0136457783,842,0.0161618488,112,0.0161313553,671,0.014797336,Tue 11:15 AM
238,512,0.013862378,864,0.0165841299,115,0.0165634452,671,0.014797336,Tue 11:30 AM
239,520,0.0140789776,886,0.017006411,118,0.0169955351,676,0.0149075993,Tue 11:45 AM
240,527,0.0142685023,914,0.0175438596,122,0.0175716549,676,0.0149075993,Tue 12:00 PM
241,527,0.0142685023,903,0.0173327191,120,0.017283595,681,0.0150178627,Tue 12:15 PM
242,531,0.0143768022,892,0.0171215786,119,0.017139565,686,0.015128126,Tue 12:30 PM
243,535,0.014485102,881,0.016910438,117,0.0168515051,690,0.0152163366,Tue 12:45 PM
244,539,0.0145934018,875,0.0167952705,117,0.0168515051,695,0.0153265999,Tue 01:00 PM
245,558,0.015107826,897,0.0172175515,120,0.017283595,705,0.0155471265,Tue 01:15 PM
246,574,0.0155410253,908,0.0174286921,121,0.0174276249,709,0.0156353372,Tue 01:30 PM
247,589,0.0159471497,919,0.0176398326,122,0.0175716549,719,0.0158558638,Tue 01:45 PM
248,609,0.0164886488,935,0.0179469461,125,0.0180037448,724,0.0159661271,Tue 02:00 PM
249,648,0.0175445721,979,0.0187915083,130,0.0187238946,738,0.0162748644,Tue 02:15 PM
250,690,0.0186817203,1023,0.0196360705,136,0.0195880743,752,0.0165836016,Tue 02:30 PM
251,737,0.0199542433,1061,0.0203654651,141,0.0203082241,767,0.0169143916,Tue 02:45 PM
252,787,0.0213079912,1110,0.0213060002,148,0.0213164338,781,0.0172231288,Tue 03:00 PM
253,822,0.0222556147,1138,0.0218434489,152,0.0218925537,790,0.0174216028,Tue 03:15 PM
254,861,0.023311538,1203,0.0230910975,160,0.0230447933,795,0.0175318661,Tue 03:30 PM
255,900,0.0243674613,1242,0.0238396867,165,0.0237649431,805,0.0177523927,Tue 03:45 PM
256,942,0.0255046095,1291,0.0247802219,172,0.0247731528,814,0.0179508667,Tue 04:00 PM
257,942,0.0255046095,1302,0.0249913624,174,0.0250612127,805,0.0177523927,Tue 04:15 PM
258,942,0.0255046095,1302,0.0249913624,174,0.0250612127,795,0.0175318661,Tue 04:30 PM
259,946,0.0256129093,1302,0.0249913624,174,0.0250612127,790,0.0174216028,Tue 04:45 PM
260,950,0.0257212092,1307,0.0250873354,174,0.0250612127,781,0.0172231288,Tue 05:00 PM
261,857,0.0232032382,1176,0.0225728435,157,0.0226127034,752,0.0165836016,Tue 05:15 PM
262,772,0.0209018668,1078,0.0206917732,144,0.020740314,728,0.0160543378,Tue 05:30 PM
263,698,0.01889832,979,0.0187915083,130,0.0187238946,700,0.0154368632,Tue 05:45 PM
264,632,0.0171113728,881,0.016910438,117,0.0168515051,676,0.0149075993,Tue 06:00 PM
265,574,0.0155410253,815,0.0156435948,109,0.0156992654,643,0.0141798615,Tue 06:15 PM
266,524,0.0141872775,760,0.014587892,101,0.0145470258,609,0.013430071,Tue 06:30 PM
