bin,120P04340, ,120N05397, ,120+14882, ,120-07060, ,tstamp
230,486.127,0.013,718.916,0.014,95.568,0.014,624.172,0.014,Tue 09:30 AM
231,490.125,0.013,732.417,0.014,98.088,0.014,640.627,0.014,Tue 09:45 AM
232,495.322,0.013,745.743,0.014,100.557,0.014,656.759,0.014,Tue 10:00 AM
233,503.132,0.014,760.890,0.015,103.331,0.015,674.871,0.015,Tue 10:15 AM
234,512.800,0.014,777.607,0.015,106.342,0.015,694.540,0.015,Tue 10:30 AM
235,522.236,0.014,793.690,0.015,109.182,0.016,713.085,0.016,Tue 10:45 AM
236,529.542,0.014,807.207,0.015,111.505,0.016,728.260,0.016,Tue 11:00 AM
237,534.789,0.014,818.552,0.016,113.433,0.016,740.853,0.016,Tue 11:15 AM
238,539.113,0.015,828.519,0.016,115.055,0.017,751.447,0.017,Tue 11:30 AM
239,543.476,0.015,837.458,0.016,116.327,0.017,759.756,0.017,Tue 11:45 AM
240,548.514,0.015,845.422,0.016,117.149,0.017,765.122,0.017,Tue 12:00 PM
241,553.016,0.015,851.221,0.016,117.239,0.017,765.712,0.017,Tue 12:15 PM
242,557.891,0.015,856.106,0.016,116.967,0.017,763.932,0.017,Tue 12:30 PM
243,565.155,0.015,862.380,0.017,116.943,0.017,763.774,0.017,Tue 12:45 PM
244,576.805,0.016,872.178,0.017,117.710,0.017,768.783,0.017,Tue 01:00 PM
245,593.516,0.016,885.613,0.017,119.176,0.017,778.358,0.017,Tue 01:15 PM
246,613.294,0.017,901.208,0.017,121.096,0.017,790.900,0.017,Tue 01:30 PM
247,633.623,0.017,917.488,0.018,123.334,0.018,805.517,0.018,Tue 01:45 PM
248,652.560,0.018,933.478,0.018,125.815,0.018,821.720,0.018,Tue 02:00 PM
249,671.629,0.018,950.868,0.018,128.759,0.019,840.946,0.019,Tue 02:15 PM
250,690.418,0.019,968.444,0.019,131.975,0.019,861.953,0.019,Tue 02:30 PM
251,707.055,0.019,983.465,0.019,135.071,0.019,882.174,0.019,Tue 02:45 PM
