bin,120P04340, ,120N05397, ,120+14882, ,120-07060, ,tstamp
267,417.785,0.011,603.977,0.012,78.809,0.011,514.718,0.011,Tue 06:45 PM
268,391.631,0.011,574.792,0.011,74.523,0.011,486.721,0.011,Tue 07:00 PM
269,371.365,0.010,547.925,0.011,70.921,0.010,463.196,0.010,Tue 07:15 PM
270,355.162,0.010,522.934,0.010,67.813,0.010,442.899,0.010,Tue 07:30 PM
271,341.441,0.009,499.026,0.010,64.873,0.009,423.695,0.009,Tue 07:45 PM
272,329.090,0.009,475.660,0.009,61.839,0.009,403.883,0.009,Tue 08:00 PM
273,319.716,0.009,453.768,0.009,58.871,0.008,384.498,0.008,Tue 08:15 PM
274,312.281,0.008,432.684,0.008,55.962,0.008,365.498,0.008,Tue 08:30 PM
275,304.274,0.008,410.913,0.008,52.954,0.008,345.849,0.008,Tue 08:45 PM
276,293.544,0.008,387.083,0.007,49.690,0.007,324.537,0.007,Tue 09:00 PM
277,280.747,0.008,361.107,0.007,46.138,0.007,301.338,0.007,Tue 09:15 PM
278,266.538,0.007,333.953,0.006,42.432,0.006,277.132,0.006,Tue 09:30 PM
279,250.844,0.007,306.545,0.006,38.734,0.006,252.976,0.006,Tue 09:45 PM
280,233.467,0.006,279.610,0.005,35.168,0.005,229.687,0.005,Tue 10:00 PM
281,213.740,0.006,252.545,0.005,31.650,0.005,206.714,0.005,Tue 10:15 PM
282,192.506,0.005,225.532,0.004,28.193,0.004,184.137,0.004,Tue 10:30 PM
283,171.206,0.005,199.348,0.004,24.891,0.004,162.570,0.004,Tue 10:45 PM
284,150.715,0.004,174.283,0.003,21.787,0.003,142.296,0.003,Tue 11:00 PM
285,129.145,0.003,148.552,0.003,18.690,0.003,122.067,0.003,Tue 11:15 PM
286,107.971,0.003,123.889,0.002,15.777,0.002,103.044,0.002,Tue 11:30 PM
287,90.442,0.002,103.659,0.002,13.407,0.002,87.563,0.002,Tue 11:45 PM
288,80.580,0.002,92.088,0.002,11.998,0.002,78.362,0.002,Wed 12:00 AM
289,74.600,0.002,84.524,0.002,10.910,0.002,71.257,0.002,Wed 12:15 AM
290,66.944,0.002,74.901,0.001,9.529,0.001,62.237,0.001,Wed 12:30 AM
291,59.394,0.002,65.753,0.001,8.235,0.001,53.785,0.001,Wed 12:45 AM
292,53.459,0.001,59.235,0.001,7.360,0.001,48.071,0.001,Wed 01:00 AM
293,48.525,0.001,54.719,0.001,6.835,0.001,44.643,0.001,Wed 01:15 AM
294,44.296,0.001,51.515,0.001,6.524,0.001,42.607,0.001,Wed 01:30 AM
295,41.104,0.001,49.623,0.001,6.365,0.001,41.573,0.001,Wed 01:45 AM
296,39.132,0.001,48.878,0.001,6.295,0.001,41.111,0.001,Wed 02:00 AM
297,37.777,0.001,48.508,0.001,6.262,0.001,40.898,0.001,Wed 02:15 AM
298,37.570,0.001,49.462,0.001,6.364,0.001,41.564,0.001,Wed 02:30 AM
299,39.579,0.001,53.322,0.001,6.734,0.001,43.981,0.001,Wed 02:45 AM
300,44.480,0.001,60.975,0.001,7.434,0.001,48.552,0.001,Wed 03:00 AM
301,50.999,0.001,69.822,0.001,8.191,0.001,53.499,0.001,Wed 03:15 AM
302,60.089,0.002,82.117,0.002,9.262,0.001,60.492,0.001,Wed 03:30 AM
303,73.858,0.002,102.451,0.002,11.151,0.002,72.830,0.002,Wed 03:45 AM
304,93.928,0.003,134.965,0.003,14.256,0.002,93.109,0.002,Wed 04:00 AM
305,118.811,0.003,179.446,0.003,18.281,0.003,119.396,0.003,Wed 04:15 AM
306,149.086,0.004,233.498,0.004,23.294,0.003,152.140,0.003,Wed 04:30 AM
